id,username,email,role,Make,Acceleration 0 - 100 km/h,Top Speed,Electric Range,Total Power,Total Torque,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,Maintenance Cost,Battery Capacity,Pincode,Date,Time,Location Longitude,Location Latitude,Status,Drive,Battery Level,Range
499,karenjordan,ppatel@yahoo.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2401.9,78,53714,15-01-2024,19:35:32,67.331499,7.522889,0,Front,62,300.7
500,klewis,obarry@gmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4422.23,82,79398,26-10-2024,12:04:09,97.002213,80.58575,1,AWD,51,247.35
501,rpearson,shaley@maynard.net,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4515.93,78,55597,16-05-2024,10:03:27,-2.893372,80.614879,0,Front,78,378.3
502,sheliacohen,dariusdavis@yahoo.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4148.17,82,43599,29-04-2024,02:43:27,169.659083,36.912137,0,AWD,38,184.3
503,hunter12,davidjones@hampton.biz,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3886.82,82,36190,19-04-2024,10:39:17,-115.382651,-50.138106,1,AWD,49,237.65
504,smarsh,dawsonaaron@yahoo.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3818.55,82,74066,29-06-2024,18:22:28,53.814833,-4.320348,1,AWD,100,485
505,amy67,ashley97@yahoo.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4059.48,82,12169,12-06-2024,11:52:45,73.819952,26.802445,1,Rear,56,271.6
506,ronald04,johnsonjohn@yahoo.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1986.61,78,92124,26-03-2024,08:52:55,-106.439313,-56.201563,1,Front,92,446.2
507,chapmanpaul,djensen@yahoo.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3771.82,82,10865,12-02-2024,18:07:55,-167.224469,-26.90064,0,AWD,40,194
508,derrick63,brandonwatson@yahoo.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1291.7,82,94743,04-01-2024,04:33:34,-57.626674,-44.277424,0,AWD,88,426.8
509,daniel82,bcraig@yahoo.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4414.36,82,31272,31-01-2024,20:23:26,16.583743,1.888886,1,Rear,70,339.5
510,sabrina98,sbailey@yahoo.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3741.36,82,86675,17-06-2024,09:55:21,-133.893718,-73.394848,0,AWD,33,160.05
511,karen43,kristen49@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4071.85,78,52342,09-08-2024,14:12:42,-119.442898,-74.091796,0,Front,70,339.5
512,karensanchez,beth43@hotmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4805,78,35843,08-06-2024,15:27:59,-108.911216,-27.898828,0,Front,43,208.55
513,dustinwilliams,uanderson@yahoo.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1918.73,82,95337,25-03-2024,02:24:02,-82.620079,-54.196479,0,AWD,67,324.95
514,cory21,sanderson@wilson.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3770.08,82,63275,06-05-2024,07:23:54,-3.453439,-42.710543,0,AWD,34,164.9
515,james65,imcbride@gmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1415.81,82,5388,04-04-2024,13:03:38,-82.034521,8.890211,1,AWD,80,388
516,joshua64,hernandezcheryl@hotmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3082.21,78,7658,15-11-2024,16:16:45,-11.034352,-78.324718,1,Front,98,475.3
517,daniel13,michele58@hotmail.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3608.68,83.9,78476,01-06-2024,07:04:16,88.824024,-59.836989,0,Rear,74,358.9
518,courtney70,livingstonchelsea@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,1998.78,82,34722,01-10-2024,04:22:00,-42.676459,81.668629,1,Rear,95,460.75
519,jaime56,christopherwalker@hotmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2428.12,82,72686,24-05-2024,11:40:07,40.505304,26.71401,1,AWD,89,431.65
520,pamela36,arthurwright@ellis-white.biz,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1516.43,83.9,27752,11-09-2024,22:07:44,27.183661,55.576045,1,Rear,56,271.6
521,jesse79,iharrington@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1745.12,78,4783,02-08-2024,02:04:54,-126.416891,35.204814,0,Front,37,179.45
522,jennifer29,dmullins@gmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2983.54,82,86198,04-02-2024,03:42:03,-127.111324,-38.545809,0,AWD,95,460.75
523,skim,cbaker@clark-flores.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2971.54,82,30435,27-07-2024,11:11:19,-173.471551,24.217827,1,AWD,49,237.65
524,stacey22,lmyers@yahoo.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,2670.29,82,99015,10-05-2024,02:10:12,2.764222,73.775595,0,AWD,68,329.8
525,jamesanderson,albertsmith@morales-frey.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1053.11,83.9,27293,04-01-2024,18:24:31,-154.691013,-73.926073,0,Rear,31,150.35
526,jamesortiz,grossdavid@yahoo.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2494.87,83.9,60308,21-05-2024,02:28:35,152.831553,-51.744163,0,Rear,42,203.7
527,ethomas,john02@yahoo.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3307.02,82,84617,23-05-2024,17:23:27,28.593438,41.340675,1,AWD,98,475.3
528,davidgilbert,lisa23@robinson.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2573.46,82,6617,19-02-2024,08:10:06,-15.732317,71.566271,1,Rear,40,194
529,zjones,gibsonfrank@stanley.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1236.01,82,7332,24-05-2024,18:27:36,68.290691,-22.939821,1,AWD,30,145.5
530,qhendricks,deckerthomas@hotmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1330.01,78,91069,11-07-2024,08:30:54,78.436107,-12.478502,0,Front,66,320.1
531,yrodriguez,brendan58@herrera.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2188.33,83.9,89320,01-07-2024,22:46:12,-42.541792,-5.176388,0,Rear,53,257.05
532,william12,carol95@long-ferguson.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3889.04,83.9,66971,08-10-2024,07:30:06,99.240952,88.165712,1,Rear,41,198.85
533,toddburton,bauercory@gmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1841.97,82,11766,19-01-2024,08:58:03,126.395294,-57.320035,1,AWD,85,412.25
534,cchurch,toni86@mendez.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1170.99,78,60062,20-01-2024,01:27:39,175.477704,24.52151,1,Front,56,271.6
535,yatessarah,dale99@benson-thompson.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2127.83,82,96867,23-10-2024,22:51:06,-179.03061,80.013717,1,AWD,57,276.45
536,thompsondouglas,pgoodman@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2813.81,78,73581,25-06-2024,08:42:30,0.597201,-81.81455,0,Front,66,320.1
537,wardkeith,bennettnicholas@cohen-green.biz,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3100.32,82,25713,16-03-2024,17:48:22,12.395237,45.723726,1,AWD,56,271.6
538,schwartzlisa,kelly70@shaw-stone.net,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1132.76,83.9,79042,13-08-2024,22:46:43,-111.344861,10.4177,0,Rear,89,431.65
539,steven20,rcannon@yahoo.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4567.3,82,9855,25-08-2024,05:43:06,179.851829,-85.758914,0,Rear,63,305.55
540,kristinwest,raywalters@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3729.84,82,21467,20-08-2024,15:58:52,-30.029692,-74.586622,1,Rear,33,160.05
541,lhall,ywells@gmail.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3410.32,83.9,21474,19-05-2024,19:04:52,-158.523203,1.275848,0,Rear,75,363.75
542,barnesnorma,thomascassandra@gmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4422.67,82,86237,23-05-2024,15:36:41,-33.475047,-47.456892,1,AWD,76,368.6
543,edwardmitchell,sandra63@hernandez.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,4683.94,83.9,99781,15-09-2024,17:10:56,157.813401,13.440184,0,Rear,92,446.2
544,phall,debbiejackson@hotmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3720.61,82,95229,25-04-2024,19:19:56,-121.575776,30.48373,1,AWD,70,339.5
545,bradbennett,cindy08@yahoo.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2229.09,78,13227,16-03-2024,09:43:02,105.529873,-43.451451,0,Front,37,179.45
546,walkeramanda,nelsonamanda@bush.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3098.46,82,84697,02-02-2024,21:30:32,-130.304632,-5.297321,1,Rear,84,407.4
547,herringgerald,kara81@watson.biz,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2030.51,82,70727,12-07-2024,10:14:36,-83.234982,11.711,0,Rear,80,388
548,garciabrandi,angela06@yahoo.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1397.83,82,40555,18-10-2024,18:45:15,93.589824,35.709055,0,AWD,31,150.35
549,williamspaul,elittle@gmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1831.12,82,41615,21-07-2024,21:25:04,35.297747,-77.958439,0,AWD,94,455.9
550,slittle,kimberly19@yahoo.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1131.66,78,95426,20-02-2024,05:59:06,110.49818,-70.708084,1,Front,83,402.55
551,danielthomas,haroldlee@gmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3185.07,82,40561,25-09-2024,19:55:20,31.871935,25.603014,1,AWD,68,329.8
552,frank48,campbelltodd@stark.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3014.78,78,12303,01-07-2024,20:12:15,-103.019377,80.441653,0,Front,73,354.05
553,marciasullivan,pearsonwillie@gmail.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3394.51,83.9,15036,12-10-2024,04:59:01,-129.462902,80.774703,0,Rear,80,388
554,robinsonryan,mclaughlinjulie@hotmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3441.98,82,780,25-01-2024,18:52:18,-43.369042,-79.298475,1,AWD,62,300.7
555,julieryan,glopez@morris.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2950.48,83.9,24023,14-04-2024,09:47:55,162.436219,24.605863,1,Rear,99,480.15
556,andreasmith,sarakirby@hotmail.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2916.44,83.9,22903,13-09-2024,01:53:44,-64.566755,2.545744,1,Rear,84,407.4
557,brownraymond,lynnavila@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2123.99,78,30272,09-03-2024,17:34:40,-89.205738,-9.113085,1,Front,57,276.45
558,nnunez,vrussell@wagner.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3211.31,83.9,83221,29-07-2024,09:47:56,-87.255813,17.265461,0,Rear,43,208.55
559,dthompson,ryantorres@smith.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4114.68,82,20824,14-09-2024,18:12:10,34.869414,-35.900423,0,AWD,93,451.05
560,jamesperez,nunezmelinda@arellano.org,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,1790.98,82,95963,25-01-2024,08:01:07,118.555758,19.457718,1,Rear,83,402.55
561,jeanette06,pcruz@gmail.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1456.42,83.9,55877,20-10-2024,14:23:41,34.56926,29.150815,1,Rear,100,485
562,margaret20,john19@mcdonald.biz,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,1065.48,82,15807,27-06-2024,07:23:15,140.515403,-46.586983,0,Rear,58,281.3
563,gomezbrittney,michael72@lowe.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,4935.83,83.9,92447,31-05-2024,03:56:37,100.434248,34.078833,1,Rear,88,426.8
564,wferguson,bailey12@west-parker.net,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,2030.89,82,78249,07-08-2024,03:35:25,75.856167,-45.373328,1,AWD,61,295.85
565,jeffrey46,irojas@hensley.info,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3252.12,82,19207,24-10-2024,03:10:31,-137.78654,-2.106774,1,AWD,62,300.7
566,tgarza,zandrews@smith-smith.org,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2593.21,83.9,60438,29-04-2024,15:55:36,2.226051,13.552445,1,Rear,42,203.7
567,wscott,ghill@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2961.39,82,80227,07-11-2024,16:28:50,62.258282,-37.625618,0,Rear,61,295.85
568,jenkinsjohn,jamie98@hotmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3224.35,82,14501,27-05-2024,17:47:56,25.288514,-14.311409,0,AWD,99,480.15
569,bakerleslie,uliu@wilson.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3454.47,83.9,52729,24-02-2024,13:49:59,-101.855842,83.602718,1,Rear,97,470.45
570,jross,larsenharold@bass.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2309.98,78,572,04-08-2024,10:14:08,47.535493,-34.500324,0,Front,78,378.3
571,nancyballard,itorres@hotmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4747.21,82,31559,28-08-2024,21:56:42,-79.602913,51.475843,0,Rear,43,208.55
572,vgreen,robert30@schaefer.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2596.21,82,2168,19-01-2024,16:55:43,-34.140346,-19.35959,1,AWD,55,266.75
573,frazierjennifer,vargasmolly@hotmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3346.55,78,47148,07-09-2024,04:36:43,75.016615,86.100334,0,Front,72,349.2
574,paul18,margaretirwin@hotmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1471.87,82,39061,16-06-2024,14:50:27,-111.206363,54.16925,1,AWD,33,160.05
575,shawtimothy,schmidtfernando@lara.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3033.49,78,56564,24-05-2024,15:30:27,116.377754,-37.697376,1,Front,57,276.45
576,hallsamantha,david90@yahoo.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,1900.55,82,63933,16-04-2024,06:07:21,25.676106,-33.484276,0,Rear,93,451.05
577,zhansen,kevinjohnson@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2675.23,78,17022,15-02-2024,07:15:37,47.508189,0.225863,0,Front,49,237.65
578,ibrennan,ltate@gmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3826.19,82,16869,24-08-2024,17:07:26,119.489069,-29.60709,1,AWD,31,150.35
579,jasonreid,qmcguire@yahoo.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1048.54,83.9,40779,05-07-2024,14:49:25,-92.467817,-66.121296,0,Rear,62,300.7
580,gail55,gnguyen@ferguson.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2437.56,78,64608,18-11-2024,00:52:29,124.738056,28.990611,0,Front,45,218.25
581,mason53,jacquelineatkins@brown.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2770.42,82,12481,27-01-2024,09:23:40,74.650402,-81.490612,1,Rear,87,421.95
582,xyoung,bsimpson@herrera-gardner.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4248.21,82,81436,14-05-2024,15:02:44,-155.364522,-64.007367,1,Rear,57,276.45
583,angela22,erinreed@hotmail.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3977.51,83.9,41477,09-02-2024,04:17:14,110.252219,70.026993,0,Rear,51,247.35
584,tracy91,brownsabrina@hotmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1294.1,82,83958,19-01-2024,04:40:28,-110.019818,-66.970082,1,AWD,94,455.9
585,greenshawn,xhall@hotmail.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3850.05,83.9,28658,18-05-2024,12:58:56,-37.619855,-73.710284,1,Rear,45,218.25
586,samuel84,lwilson@park-whitney.info,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1886.91,82,26641,10-04-2024,16:51:11,-44.892744,-39.912173,0,AWD,78,378.3
587,benjaminhall,jamesmoreno@miller-cobb.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3891.8,82,31911,16-11-2024,09:44:00,-169.754367,-44.591802,0,Rear,89,431.65
588,ronaldjohnson,lisahawkins@yahoo.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,2846.97,82,23319,05-07-2024,22:05:26,142.537762,33.167477,0,AWD,92,446.2
589,alecwilcox,lesliebrown@gmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3011.1,82,16521,21-06-2024,13:29:17,108.719824,53.391863,0,AWD,57,276.45
590,qmurphy,jessica78@garcia.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2290.77,83.9,47194,13-06-2024,15:55:04,-17.599487,15.546916,1,Rear,45,218.25
591,kellybooth,mossscott@yahoo.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3362.16,82,21811,18-08-2024,16:18:51,69.196001,-84.376375,1,Rear,94,455.9
592,benitezjeffrey,brianajohnston@yahoo.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4046.71,82,82959,04-11-2024,23:55:32,179.825281,-58.51166,1,AWD,94,455.9
593,brian99,rodriguezamanda@peterson.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,2316.75,82,90122,02-10-2024,04:57:57,-4.052594,62.390969,1,AWD,43,208.55
594,padillaamber,rebecca24@yahoo.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3286.64,82,36799,12-10-2024,10:43:32,105.818113,0.354034,0,AWD,64,310.4
595,christine97,xjackson@yahoo.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2137.06,78,43570,03-09-2024,14:49:28,-178.977576,-51.373377,1,Front,48,232.8
596,karen28,whitecharles@silva.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3230.61,82,18544,26-04-2024,19:11:44,120.53886,-35.20585,0,AWD,54,261.9
597,daniellesolomon,murraysara@hotmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3284.86,82,69853,26-04-2024,05:57:25,-79.193646,-61.825155,0,Rear,99,480.15
598,tylerlaura,kcrawford@cooley.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3420.18,78,95674,25-03-2024,10:20:21,-102.744195,6.587089,1,Front,44,213.4
599,allisonpeterson,rowebelinda@hotmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3823.9,82,64947,20-11-2024,05:10:34,159.547805,39.022729,1,AWD,86,417.1
600,sierra59,rojaschristina@berry.info,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1062.77,78,61844,12-08-2024,01:03:29,121.813505,29.974784,1,Front,59,286.15
601,dylan66,madelinebrooks@calderon.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4079.69,82,99400,07-10-2024,16:05:06,-110.918472,-10.69362,1,AWD,46,223.1
602,mackelizabeth,emilysmith@martinez.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3399.01,82,1868,06-04-2024,19:06:02,-21.120638,-80.730537,0,AWD,80,388
603,pparker,david60@hotmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3225.18,82,8243,25-09-2024,00:41:56,11.680981,-29.606322,0,AWD,81,392.85
604,foleyjennifer,mark24@espinoza.biz,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3645.01,82,9633,13-05-2024,00:08:10,-60.394648,-14.822124,0,AWD,69,334.65
605,wharris,robynmiller@hotmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,2276.34,82,46203,16-07-2024,05:14:51,134.017926,40.45136,0,AWD,58,281.3
606,ncarroll,laurenbrown@gmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2055.01,82,82634,09-05-2024,22:19:18,-9.153973,25.986213,0,AWD,70,339.5
607,odavis,fwade@hotmail.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3169.49,83.9,44319,29-05-2024,22:21:49,28.025827,8.001345,1,Rear,71,344.35
608,wcarroll,garciakelly@yahoo.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2634.66,83.9,89478,26-08-2024,12:20:11,-23.277305,66.54173,0,Rear,58,281.3
609,marybartlett,bwhite@gmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2379.17,82,71896,18-08-2024,11:56:27,-85.445015,-80.39492,0,AWD,44,213.4
610,vortiz,gregory16@scott-montoya.biz,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1810.63,82,10533,14-01-2024,21:21:01,-25.540414,79.251265,1,AWD,44,213.4
611,uhaley,amanda46@williams-brooks.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4919.97,78,5412,14-03-2024,00:22:02,-2.971732,20.826201,0,Front,82,397.7
612,taylortina,douglas63@taylor-vincent.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1866.34,83.9,35011,03-09-2024,12:47:01,127.422043,-52.21043,1,Rear,53,257.05
613,shawn89,laura09@andrews-williams.info,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1635.32,82,53209,11-04-2024,14:33:43,-157.214254,12.654714,1,AWD,91,441.35
614,hudsonglen,uhubbard@yahoo.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4636.46,82,15166,01-10-2024,21:14:40,46.189499,-37.039276,0,AWD,89,431.65
615,amanda72,chavezpamela@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2309.74,78,84623,13-06-2024,08:02:06,-161.300949,46.775894,0,Front,87,421.95
616,mccormickkatherine,harrisstacey@hotmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4660.61,82,66545,22-10-2024,05:06:09,16.365006,6.803632,1,AWD,51,247.35
617,eharris,suzanne33@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4539.21,82,53546,20-04-2024,06:48:36,91.749836,-53.629406,1,Rear,42,203.7
618,qsmith,jenniferjacobs@gentry.net,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1858.55,78,83982,11-06-2024,10:36:05,146.224884,70.644917,1,Front,47,227.95
619,randybailey,bradshawcarlos@huffman.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1194.54,83.9,80613,14-01-2024,02:57:54,28.405629,50.760481,1,Rear,47,227.95
620,shannon20,carl07@hotmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1827.71,82,78038,30-09-2024,08:46:08,101.136644,32.605099,0,AWD,72,349.2
621,erikwatson,browntimothy@collins.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3698.51,82,98890,17-04-2024,20:22:22,-157.882285,89.607086,0,Rear,72,349.2
622,matthewsjill,juliebird@hotmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2693,82,53830,20-03-2024,17:56:36,102.875161,10.660119,1,AWD,94,455.9
623,christian74,keithbaker@brewer.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2031.81,82,70437,17-11-2024,08:07:51,-10.408357,56.484762,1,Rear,95,460.75
624,leepatrick,wattsjason@yahoo.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,2132.69,82,2073,27-02-2024,18:21:06,-91.505658,-55.181402,1,AWD,40,194
625,kbenson,kimberlyjohnson@chan-young.biz,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2706.57,82,95061,22-02-2024,19:25:05,154.384618,5.883345,0,AWD,66,320.1
